content_url,term,engagement rate,content_type,content_id
https://giphy.com/gifs/VRyzU4B2pOpSMUVA5w,landed,0.00,GIF,VRyzU4B2pOpSMUVA5w
https://giphy.com/gifs/cD9S3cfbmPefkkhum7,starter,0.00,GIF,cD9S3cfbmPefkkhum7
https://giphy.com/gifs/Ot5eaTfqY2g6GKkQCa,process,0.00,GIF,Ot5eaTfqY2g6GKkQCa
https://giphy.com/gifs/Ot5eaTfqY2g6GKkQCa,develop,0.00,GIF,Ot5eaTfqY2g6GKkQCa
https://giphy.com/gifs/Ot5eaTfqY2g6GKkQCa,development,0.00,GIF,Ot5eaTfqY2g6GKkQCa
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,savetheworld,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,shelterhumanity,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,cryptotrading,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,sheltercoins,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,sheltercrypto,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,shelternft,100.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,shelter,0.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/3WIZ165aIYNZ8yreUb,humanity,0.00,GIF,3WIZ165aIYNZ8yreUb
https://giphy.com/gifs/KbL3srshNoJjrD2TjC,flic,0.18,GIF,KbL3srshNoJjrD2TjC
https://giphy.com/gifs/b2KXdttshdulDiIyr5,strain,0.00,GIF,b2KXdttshdulDiIyr5
https://giphy.com/gifs/b2KXdttshdulDiIyr5,subscription,0.00,GIF,b2KXdttshdulDiIyr5
https://giphy.com/gifs/ftytEGAySQ4exyXX5i,dev,0.08,GIF,ftytEGAySQ4exyXX5i
https://giphy.com/gifs/h4Z7OnzH9Ulzr26wjr,update,0.00,GIF,h4Z7OnzH9Ulzr26wjr
https://giphy.com/gifs/Sq77TQglAaLg1i8qDw,dao,0.00,GIF,Sq77TQglAaLg1i8qDw
https://giphy.com/gifs/Sq77TQglAaLg1i8qDw,organisation,0.00,GIF,Sq77TQglAaLg1i8qDw
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,digitalstudio,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,webbusiness,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,webservice,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,web3stud,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,webdevelopment,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,websites,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/SrM48HdmJVElMGvcgV,wedesign,100.00,GIF,SrM48HdmJVElMGvcgV
https://giphy.com/gifs/hQtCaPaWLB2tQCM0m9,ads,0.32,GIF,hQtCaPaWLB2tQCM0m9
https://giphy.com/gifs/hQtCaPaWLB2tQCM0m9,product,0.00,GIF,hQtCaPaWLB2tQCM0m9
https://giphy.com/gifs/vizRuXV0LeKKh1OKtC,neverending,0.33,GIF,vizRuXV0LeKKh1OKtC
https://giphy.com/gifs/vizRuXV0LeKKh1OKtC,postive,0.13,GIF,vizRuXV0LeKKh1OKtC
